2025-11-04 10:24:21,252 | scorer | INFO | 'Scorer' object instantiated; W&B run initialized.
2025-11-04 10:24:21,254 | scorer | INFO | Loading in 'ratings' data...
2025-11-04 10:24:24,791 | db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (120000, 4)
2025-11-04 10:24:24,817 | scorer | INFO | Data successfully loaded!
2025-11-04 10:24:24,819 | scorer | INFO | Number of 'Old' users: 1584 -> Using SVD collaborative filtering model to generate these recommendations...
2025-11-04 10:24:24,821 | scorer | INFO | Number of 'New' users: 224 -> Falling back to cold-start strategy of recommending top 'n' films by popularity...
2025-11-04 10:24:24,823 | scorer | INFO | Ratings data loaded successfully.
2025-11-04 10:24:24,965 | db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-04 10:24:25,065 | scorer | INFO | Genres table loaded successfully.
2025-11-04 10:24:25,067 | scorer | INFO | Loading in model from W&B...
[34m[1mwandb[0m:   1 of 1 files downloaded.
2025-11-04 10:24:26,068 | scorer | INFO | Model successfully loaded!
2025-11-04 10:24:26,070 | scorer | INFO | Model imported successfully.
2025-11-04 10:24:26,072 | scorer | INFO | Scoring for 'old' users...
