2025-11-04 10:12:01,698 | scorer | INFO | 'Scorer' object instantiated; W&B run initialized.
2025-11-04 10:12:01,702 | scorer | INFO | Loading in 'ratings' data...
2025-11-04 10:12:05,162 | db_connector | INFO | Successfully read collection 'ratings'. Shape of df: (120000, 4)
2025-11-04 10:12:05,193 | scorer | INFO | Data successfully loaded!
2025-11-04 10:12:05,195 | scorer | INFO | Number of 'Old' users: 1584 -> Using SVD collaborative filtering model to generate these recommendations...
2025-11-04 10:12:05,198 | scorer | INFO | Number of 'New' users: 224 -> Falling back to cold-start strategy of recommending top 'n' films by popularity...
2025-11-04 10:12:05,201 | scorer | INFO | Ratings data loaded successfully.
2025-11-04 10:12:05,474 | db_connector | INFO | Successfully read collection 'genres'. Shape of df: (4877, 2)
2025-11-04 10:12:05,567 | scorer | INFO | Genres table loaded successfully.
2025-11-04 10:12:05,569 | scorer | INFO | Loading in model from W&B...
[34m[1mwandb[0m:   1 of 1 files downloaded.
2025-11-04 10:12:06,645 | scorer | INFO | Model successfully loaded!
2025-11-04 10:12:06,647 | scorer | INFO | Model imported successfully.
2025-11-04 10:12:06,649 | scorer | INFO | Scoring for 'old' users...
